"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Bulgaria",3.43,41969.4515718999,39.5,-40,66.5764069,417,404,421,26.3688540109966,0.845,0.1222,8.2,59.9,70,30,40,85,69.0176322418136,15.8482142857143,"ManyLabs COVID",0.0144
"Brazil",2.26,22338.4765640635,50.3,-35,57.0022212,379,410,403,17.1936798095703,0.786,0.0802,2.52,51.2,69,38,49,76,43.8287153652393,59.1517857142857,"ManyLabs COVID",0.0036
"Canada",2.21,64610.3795171971,31.5,-75,76.1173365,497,507,515,34.6594141975685,0.939,0.0253,2.54,69.8,39,80,52,48,36.0201511335013,68.3035714285714,"ManyLabs COVID",0.0064
"Switzerland",2.73,96497.6947971323,33.8,-80,82.6457687,508,483,503,41.6142824106006,0.97,0.0743,4.38,58.8,34,68,70,58,73.551637279597,66.0714285714286,"ManyLabs COVID",0.0081
"China",2.54,27104.8702677463,36,-43,63.2751622,NA,NA,NA,7.67750978469849,0.797,0.171,5.63,47.5,80,20,66,30,87.4055415617128,23.6607142857143,"ManyLabs COVID",0.0036
"Colombia",2.74,22349.436440123,54.4,-37,49.3103253,383,409,411,17.6755294799805,0.788,0.1145,1.7,53.2,67,13,64,80,13.0982367758186,83.0357142857143,"ManyLabs COVID",0.0064
"Germany",2.23,73551.9347696836,33.7,-77,68.0170742,475,480,492,30.5294541601323,0.959,0.0851,7.55,65.5,35,67,66,65,82.8715365239295,40.4017857142857,"ManyLabs COVID",0.0049
"Denmark",1.78,81878.2349849181,29.9,-89,79.0280276,489,489,494,33.6215669364704,0.962,NA,2.43,64.4,18,74,16,23,34.7607052896725,69.6428571428571,"ManyLabs COVID",0.0081
"Spain",1.67,57965.2948138837,33.4,-55,65.8432851,473,474,485,25.0426560264041,0.918,0.0846,2.91,60.9,57,51,42,86,47.6070528967254,43.5267857142857,"ManyLabs COVID",0.0049
"Finland",1.1,65378.3841859721,27.4,-88,80.1160128,484,490,511,29.8881473990903,0.948,0.075,2.61,70.9,33,63,26,59,38.2871536523929,57.3660714285714,"ManyLabs COVID",0.0049
"France",3.45,62556.91810454,31.8,-66,61.771486,474,474,487,24.3546212580131,0.92,0.0988,5.65,61.9,68,71,43,86,63.4760705289672,47.7678571428571,"ManyLabs COVID",0.0081
"UK",1.62,62009.4907765366,32.4,-70,70.2964669,489,494,500,39.5936584472656,0.946,0.0599,2.42,67.2,35,89,66,35,51.1335012594458,69.4196428571428,"ManyLabs COVID",0.0081
"Ghana",4.25,8019.99702389611,43.5,-43,66.090157,NA,NA,NA,5.17058992385864,0.628,0.1707,0.69,34.3,NA,NA,NA,NA,3.5264483627204,72.3214285714286,"ManyLabs COVID",0.0289
"Greece",2.32,44327.2097808276,33.4,-50,68.2759168,430,438,441,28.9360360146749,0.908,NA,4.27,51.5,60,35,57,112,45.3400503778337,49.5535714285714,"ManyLabs COVID",0.01
"Croatia",4.78,49550.7921506017,30.1,-47,75.8257878,463,475,483,21.9618380926261,0.889,NA,5.6,48.8,73,33,40,80,58.4382871536524,33.2589285714286,"ManyLabs COVID",0.0169
"Hungary",3.88,48552.4708092529,30.6,-40,73.3475875,473,473,486,26.3525127220673,0.87,0.1201,6.63,54.4,46,80,88,82,58.1863979848866,31.4732142857143,"ManyLabs COVID",0.0169
"India",4.1,11159.9856476091,25.5,-39,52.4723123,NA,NA,NA,14.8793001174927,0.685,0.0974,1.59,42.8,77,48,56,40,50.8816120906801,26.1160714285714,"ManyLabs COVID",0.0081
