"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Iran",7.38,19873.8860853805,35.9,-23,38.8851649,NA,NA,NA,17.9231829043501,0.799,0.1553,1.85,36.5,58,41,43,59,13.6020151133501,40.4017857142857,"PsyCorona",0.0081
"Italy",6.61,62014.2675153689,34.3,-53,71.1675431,471,482,477,17.5816398207436,0.915,0.064,3.06,51.9,50,76,70,75,61.4609571788413,29.6875,"PsyCorona",0.0016
"Japan",5.88,52039.1716551611,32.3,-71,85.270442,536,516,547,25.5403995513916,0.925,0.1197,12.59,60.5,54,46,95,92,87.9093198992443,41.7410714285714,"PsyCorona",0.0025
"Kazakhstan",6.68,40890.9317694408,29.2,-38,61.0644717,425,386,423,32.9810218811035,0.837,0.1312,6.54,46.1,NA,NA,NA,NA,NA,NA,"PsyCorona",0.0049
"Kosovo",6.3,17864.4160145118,38.3,-43,60.3959884,355,342,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PsyCorona",0.0064
"Malaysia",6.77,38779.2830442253,40.7,-52,72.4670498,409,388,416,14.5619602203369,0.819,0.1387,1.96,56.4,104,26,50,36,40.8060453400504,57.1428571428571,"PsyCorona",0.0036
"Netherlands",5.04,86173.6290841738,25.7,-78,73.2073612,493,459,488,36.5573313987755,0.955,0.0961,2.42,64.7,38,80,14,53,67.0025188916877,68.3035714285714,"PsyCorona",0.0016
"Pakistan",5.49,6252.11543199559,33.5,-28,30.6476878,NA,NA,NA,9.92868041992188,0.544,0.2126,0.63,30.4,55,14,50,70,49.8740554156171,0,"PsyCorona",0.0064
"Peru",6.8,17802.4182498972,40.1,-30,54.7158131,391,408,408,NA,0.794,0.1025,1.56,54.9,64,16,42,87,25.1889168765743,46.2053571428571,"PsyCorona",0.01
"Philippines",6.73,11794.1375488492,39.3,-32,52.6707116,355,347,356,18.075719833374,0.72,0.18,0.97,45.7,94,32,64,44,27.455919395466,41.9642857142857,"PsyCorona",0.0025
"Poland",6.99,51262.5105756884,28.5,-53,74.4122187,489,489,499,27.7237205505371,0.906,0.0885,6.04,55.7,68,60,64,93,37.7833753148615,29.2410714285714,"PsyCorona",0.0049
"Serbia",7.22,32832.1763221005,32.8,-33,63.0137693,440,440,447,19.9911013863254,0.833,NA,5.78,45,86,25,43,92,52.1410579345088,28.125,"PsyCorona",0.0025
"Romania",7.27,49076.5399383138,29.8,-45,68.6083999,428,428,428,14.6010893280568,0.845,0.1146,7.23,45.7,90,30,42,90,51.8891687657431,19.8660714285714,"PsyCorona",0.0016
"Russia",6.67,47404.96484375,33,-22,50.464845,NA,NA,NA,41.2176399230957,0.832,0.1065,6.81,49.1,93,39,36,95,81.360201511335,19.8660714285714,"PsyCorona",0.0025
"Saudi Arabia",5.64,71375.3727890285,NA,-57,65.0715555,389,383,390,36.039421081543,0.9,NA,2.41,44.9,NA,NA,NA,NA,35.5163727959698,52.2321428571429,"PsyCorona",0.0049
"Singapore",6.91,150689.301625826,NA,-84,86.9368376,575,543,561,36.193660736084,0.946,0.0419,2.81,57.4,74,20,48,8,71.536523929471,45.5357142857143,"PsyCorona",0.0121
"South Africa",6.76,15456.1989933658,54.1,-41,55.3527432,NA,NA,NA,14.3510103225708,0.741,0.0851,2.25,45.8,NA,NA,NA,NA,34,63,"PsyCorona",0.0025
"South Korea",5.76,61051.3492502498,32.9,-63,76.8155059,527,515,528,36.4573720087806,0.937,0.0875,12.81,65.4,60,18,39,85,100,29.4642857142857,"PsyCorona",0.0016
"Spain",6.98,57965.2948138837,33.4,-55,65.8432851,473,474,485,25.0426560264041,0.918,0.0846,2.91,60.9,57,51,42,86,47.6070528967254,43.5267857142857,"PsyCorona",0.0016
"Turkey",7.04,45639.0192735944,43.7,-31,49.3131044,453,456,476,21.8643391177776,0.853,0.1296,3.05,50,66,37,45,85,45.5919395465995,49.1071428571429,"PsyCorona",0.0025
"Ukraine",6.43,18550.462890625,25.6,-36,58.5097612,441,428,450,34.7476005554199,0.779,0.0982,6.14,38.9,NA,NA,NA,NA,86.3979848866499,14.2857142857143,"PsyCorona",0.0025
"UK",6.48,62009.4907765366,32.4,-70,70.2964669,489,494,500,39.5936584472656,0.946,0.0599,2.42,67.2,35,89,66,35,51.1335012594458,69.4196428571428,"PsyCorona",0.0025
"US",6.83,85809.9003846359,41.8,-64,64.2697196,465,504,499,39.0593910217285,0.938,0,2.68,75.9,40,91,62,46,25.6926952141058,68.0803571428571,"PsyCorona",4e-04
"Vietnam",6.92,16385.5065565458,36.1,-41,65.9913074,469,462,472,11.3209825236686,0.766,0.1964,2.52,42.9,70,20,40,30,57.1788413098237,35.4910714285714,"PsyCorona",0.0144
"Belgium",2.54,73514.4831045258,26.8,-69,67.9689981,489,479,491,37.4110337879949,0.951,NA,5.42,59.3,65,75,54,94,81.8639798488665,56.6964285714286,"EVV",4e-04
"Bulgaria",3.54,41969.4515718999,39.5,-40,66.5764069,417,404,421,26.3688540109966,0.845,0.1222,8.2,59.9,70,30,40,85,69.0176322418136,15.8482142857143,"EVV",4e-04
"Switzerland",2.34,96497.6947971323,33.8,-80,82.6457687,508,483,503,41.6142824106006,0.97,0.0743,4.38,58.8,34,68,70,58,73.551637279597,66.0714285714286,"EVV",4e-04
"Czechia",2.76,57285.4237001379,25.7,-59,82.4960109,487,489,498,21.9581005821149,0.915,NA,6.54,52.8,57,58,57,74,70.0251889168766,29.4642857142857,"EVV",4e-04
"Estonia",2.74,49968.7108278373,30.7,-76,77.8442761,510,511,526,32.9437276359698,0.905,0.1418,4.13,55.5,40,60,30,60,82.1158690176322,16.2946428571429,"EVV",4e-04
"Finland",2.22,65378.3841859721,27.4,-88,80.1160128,484,490,511,29.8881473990903,0.948,0.075,2.61,70.9,33,63,26,59,38.2871536523929,57.3660714285714,"EVV",4e-04
"UK",2.58,62009.4907765366,32.4,-70,70.2964669,489,494,500,39.5936584472656,0.946,0.0599,2.42,67.2,35,89,66,35,51.1335012594458,69.4196428571428,"EVV",9e-04
"Greece",2.64,44327.2097808276,33.4,-50,68.2759168,430,438,441,28.9360360146749,0.908,NA,4.27,51.5,60,35,57,112,45.3400503778337,49.5535714285714,"EVV",4e-04
"Croatia",3.23,49550.7921506017,30.1,-47,75.8257878,463,475,483,21.9618380926261,0.889,NA,5.6,48.8,73,33,40,80,58.4382871536524,33.2589285714286,"EVV",4e-04
"Hungary",2.92,48552.4708092529,30.6,-40,73.3475875,473,473,486,26.3525127220673,0.87,0.1201,6.63,54.4,46,80,88,82,58.1863979848866,31.4732142857143,"EVV",4e-04
"Ireland",2.74,133437.470117019,29,-76,78.0218154,492,516,504,41.8523570536881,0.949,NA,2.96,55.3,28,70,68,35,24.4332493702771,64.9553571428571,"EVV",4e-04
"Iceland",2.42,84256.8454573112,26.8,-77,86.4880288,459,436,447,34.4636962573314,0.972,NA,2.83,48.5,NA,NA,NA,NA,27.9596977329975,66.7410714285714,"EVV",9e-04
"Italy",2.64,62014.2675153689,34.3,-53,71.1675431,471,482,477,17.5816398207436,0.915,0.064,3.06,51.9,50,76,70,75,61.4609571788413,29.6875,"EVV",4e-04
"Lithuania",2.84,55285.8991934304,36,-65,81.941602,475,472,484,41.3070548478587,0.895,NA,5.71,59.5,42,60,19,65,81.8639798488665,15.625,"EVV",4e-04
"North Macedonia",3.52,26995.4292563497,33.5,-40,68.5558552,389,359,380,20.033219660169,0.815,NA,4.74,42.2,NA,NA,NA,NA,61.712846347607,35.2678571428571,"EVV",4e-04
"Netherlands",2.19,86173.6290841738,25.7,-78,73.2073612,493,459,488,36.5573313987755,0.955,0.0961,2.42,64.7,38,80,14,53,67.0025188916877,68.3035714285714,"EVV",4e-04
"Norway",2.1,102037.526800237,26.5,-81,81.3235982,468,477,478,32.1868255742863,0.97,0.1357,3.3,60.2,31,69,8,50,34.5088161209068,55.1339285714286,"EVV",4e-04
"Portugal",3.04,51679.8883807527,33.9,-56,75.0659657,472,477,484,24.9081630188819,0.89,NA,3.48,54.7,63,27,31,104,28.2115869017632,33.2589285714286,"EVV",4e-04
"Slovenia",3.13,57186.3713538174,24.7,-58,78.2087684,485,469,500,22.0416035512248,0.931,0.0878,4.11,67.8,71,27,19,88,48.6146095717884,47.5446428571429,"EVV",4e-04
"Slovakia",3.01,48132.356430543,23.8,-48,76.7304703,464,447,462,25.2886278348116,0.88,NA,5.57,54.4,104,52,110,51,76.5743073047859,28.3482142857143,"EVV",9e-04
